0.063s	14.61psia	21.88°C	0.832LPM	1.143mg/s	3.360g
4.901s	18.71psia	21.87°C	0.106LPM	0.187mg/s	3.363g

4.961s	16.67psia	21.87°C	1.004LPM	1.568mg/s	3.363g

5.022s	16.54psia	21.87°C	0.428LPM	0.664mg/s	3.364g

5.083s	16.68psia	21.87°C	0.340LPM	0.534mg/s	3.364g

5.143s	16.84psia	21.88°C	0.298LPM	0.473mg/s	3.364g

5.203s	16.99psia	21.87°C	0.273LPM	0.437mg/s	3.364g

5.263s	17.11psia	21.87°C	0.256LPM	0.413mg/s	3.364g

5.324s	17.21psia	21.87°C	0.244LPM	0.395mg/s	3.364g

5.385s	17.33psia	21.87°C	0.232LPM	0.379mg/s	3.364g

5.445s	17.44psia	21.87°C	0.221LPM	0.365mg/s	3.364g

5.505s	17.57psia	21.87°C	0.211LPM	0.350mg/s	3.364g

5.565s	17.66psia	21.88°C	0.200LPM	0.334mg/s	3.364g

5.625s	16.11psia	21.87°C	0.998LPM	1.507mg/s	3.364g

5.686s	15.88psia	21.87°C	0.486LPM	0.729mg/s	3.364g

5.747s	16.00psia	21.87°C	0.441LPM	0.664mg/s	3.364g

5.807s	16.12psia	21.87°C	0.409LPM	0.620mg/s	3.364g

5.868s	16.16psia	21.88°C	0.390LPM	0.597mg/s	3.364g

5.928s	16.29psia	21.87°C	0.378LPM	0.582mg/s	3.364g

5.988s	16.39psia	21.87°C	0.369LPM	0.570mg/s	3.364g

6.048s	16.47psia	21.87°C	0.361LPM	0.561mg/s	3.364g

6.109s	16.54psia	21.87°C	0.354LPM	0.552mg/s	3.364g

6.169s	16.64psia	21.88°C	0.345LPM	0.541mg/s	3.364g

6.230s	16.66psia	21.87°C	0.337LPM	0.530mg/s	3.364g

6.290s	15.56psia	21.87°C	0.993LPM	1.451mg/s	3.364g

6.350s	15.25psia	21.87°C	0.606LPM	0.871mg/s	3.364g

6.410s	15.03psia	21.87°C	0.668LPM	0.945mg/s	3.364g

6.470s	14.93psia	21.87°C	0.655LPM	0.922mg/s	3.364g

6.531s	14.88psia	21.87°C	0.624LPM	0.876mg/s	3.364g

6.591s	14.95psia	21.87°C	0.598LPM	0.843mg/s	3.364g

6.652s	15.08psia	21.87°C	0.553LPM	0.785mg/s	3.365g

6.712s	15.21psia	21.87°C	0.528LPM	0.758mg/s	3.365g

6.772s	15.36psia	21.87°C	0.511LPM	0.739mg/s	3.365g

6.832s	15.50psia	21.87°C	0.493LPM	0.721mg/s	3.365g

6.893s	15.59psia	21.87°C	0.476LPM	0.702mg/s	3.365g

6.953s	15.69psia	21.87°C	0.460LPM	0.682mg/s	3.365g

7.014s	15.89psia	21.87°C	0.445LPM	0.667mg/s	3.365g

7.074s	15.98psia	21.87°C	0.429LPM	0.647mg/s	3.365g

7.134s	16.09psia	21.88°C	0.416LPM	0.631mg/s	3.365g

7.194s	16.16psia	21.87°C	0.403LPM	0.615mg/s	3.365g

7.254s	16.28psia	21.87°C	0.390LPM	0.599mg/s	3.365g

7.315s	16.39psia	21.87°C	0.379LPM	0.585mg/s	3.365g

7.375s	16.48psia	21.87°C	0.368LPM	0.572mg/s	3.365g

7.436s	16.54psia	21.87°C	0.357LPM	0.557mg/s	3.365g

7.496s	16.64psia	21.88°C	0.348LPM	0.545mg/s	3.365g

7.556s	16.73psia	21.87°C	0.339LPM	0.534mg/s	3.365g

7.616s	16.74psia	21.87°C	0.331LPM	0.522mg/s	3.365g

7.685s	16.87psia	21.86°C	0.322LPM	0.512mg/s	3.365g

7.745s	16.91psia	21.87°C	0.314LPM	0.502mg/s	3.365g

7.806s	16.97psia	21.88°C	0.307LPM	0.491mg/s	3.365g

7.873s	17.07psia	21.87°C	0.299LPM	0.480mg/s	3.365g

7.933s	17.09psia	21.87°C	0.293LPM	0.472mg/s	3.365g

7.993s	17.12psia	21.88°C	0.288LPM	0.465mg/s	3.365g

8.053s	17.18psia	21.87°C	0.282LPM	0.456mg/s	3.365g

8.114s	17.23psia	21.87°C	0.276LPM	0.449mg/s	3.365g

8.174s	17.27psia	21.87°C	0.272LPM	0.443mg/s	3.365g

8.234s	17.32psia	21.87°C	0.268LPM	0.437mg/s	3.365g

8.295s	17.37psia	21.87°C	0.262LPM	0.430mg/s	3.365g

8.355s	17.37psia	21.87°C	0.258LPM	0.424mg/s	3.365g

8.415s	17.45psia	21.87°C	0.254LPM	0.419mg/s	3.365g

8.475s	17.48psia	21.87°C	0.251LPM	0.413mg/s	3.365g

8.536s	17.48psia	21.87°C	0.247LPM	0.408mg/s	3.365g

8.596s	17.54psia	21.87°C	0.244LPM	0.404mg/s	3.366g

8.656s	17.56psia	21.87°C	0.241LPM	0.399mg/s	3.366g

8.717s	17.57psia	21.87°C	0.238LPM	0.395mg/s	3.366g

8.777s	17.65psia	21.87°C	0.236LPM	0.393mg/s	3.366g

8.837s	17.67psia	21.87°C	0.233LPM	0.388mg/s	3.366g

8.898s	17.66psia	21.87°C	0.231LPM	0.384mg/s	3.366g

8.958s	17.69psia	21.87°C	0.228LPM	0.380mg/s	3.366g

9.019s	17.73psia	21.87°C	0.224LPM	0.375mg/s	3.366g

9.079s	17.73psia	21.87°C	0.223LPM	0.372mg/s	3.366g

9.139s	17.77psia	21.87°C	0.221LPM	0.369mg/s	3.366g

9.200s	17.79psia	21.87°C	0.219LPM	0.367mg/s	3.366g

9.260s	17.82psia	21.87°C	0.216LPM	0.363mg/s	3.366g

9.321s	17.82psia	21.87°C	0.216LPM	0.363mg/s	3.366g

9.381s	17.78psia	21.87°C	0.213LPM	0.358mg/s	3.366g

9.441s	17.89psia	21.87°C	0.213LPM	0.359mg/s	3.366g

9.501s	17.87psia	21.87°C	0.211LPM	0.355mg/s	3.366g

9.562s	17.88psia	21.87°C	0.208LPM	0.351mg/s	3.366g

9.622s	17.90psia	21.87°C	0.208LPM	0.351mg/s	3.366g

9.682s	17.90psia	21.87°C	0.206LPM	0.348mg/s	3.366g

9.742s	17.93psia	21.87°C	0.205LPM	0.346mg/s	3.366g

9.802s	17.93psia	21.87°C	0.204LPM	0.345mg/s	3.366g

9.862s	17.96psia	21.87°C	0.202LPM	0.342mg/s	3.366g

9.923s	17.96psia	21.87°C	0.201LPM	0.341mg/s	3.366g

9.983s	17.94psia	21.87°C	0.201LPM	0.341mg/s	3.366g

10.043s	17.98psia	21.87°C	0.200LPM	0.339mg/s	3.366g

10.104s	17.98psia	21.87°C	0.198LPM	0.336mg/s	3.366g

10.164s	17.99psia	21.87°C	0.198LPM	0.336mg/s	3.366g

10.224s	18.02psia	21.87°C	0.196LPM	0.333mg/s	3.366g

10.284s	18.01psia	21.87°C	0.197LPM	0.335mg/s	3.366g

10.345s	17.99psia	21.87°C	0.195LPM	0.331mg/s	3.366g

10.406s	18.04psia	21.87°C	0.194LPM	0.331mg/s	3.366g

10.466s	18.04psia	21.87°C	0.194LPM	0.330mg/s	3.366g

10.526s	18.02psia	21.87°C	0.192LPM	0.327mg/s	3.366g

10.587s	18.04psia	21.87°C	0.192LPM	0.327mg/s	3.366g

10.647s	18.07psia	21.87°C	0.192LPM	0.327mg/s	3.366g

10.707s	18.08psia	21.87°C	0.192LPM	0.327mg/s	3.366g

10.767s	18.08psia	21.87°C	0.191LPM	0.326mg/s	3.366g

10.828s	18.08psia	21.87°C	0.190LPM	0.324mg/s	3.366g

10.888s	18.06psia	21.87°C	0.190LPM	0.324mg/s	3.366g

10.949s	18.11psia	21.87°C	0.189LPM	0.322mg/s	3.366g

11.009s	18.09psia	21.88°C	0.188LPM	0.321mg/s	3.366g

11.070s	18.09psia	21.87°C	0.188LPM	0.321mg/s	3.366g

11.130s	18.06psia	21.87°C	0.187LPM	0.319mg/s	3.366g

11.190s	18.12psia	21.87°C	0.188LPM	0.322mg/s	3.366g

11.250s	18.11psia	21.87°C	0.187LPM	0.319mg/s	3.366g

11.311s	18.09psia	21.87°C	0.186LPM	0.318mg/s	3.366g

11.371s	18.12psia	21.87°C	0.185LPM	0.317mg/s	3.366g

11.431s	18.12psia	21.87°C	0.186LPM	0.318mg/s	3.367g

11.491s	18.12psia	21.88°C	0.186LPM	0.318mg/s	3.367g

11.551s	18.15psia	21.87°C	0.186LPM	0.318mg/s	3.367g

11.612s	18.14psia	21.87°C	0.185LPM	0.317mg/s	3.367g

11.672s	18.12psia	21.87°C	0.185LPM	0.316mg/s	3.367g

11.732s	18.12psia	21.87°C	0.184LPM	0.316mg/s	3.367g

11.802s	18.15psia	21.86°C	0.185LPM	0.316mg/s	3.367g

11.862s	18.14psia	21.87°C	0.183LPM	0.314mg/s	3.367g

11.922s	18.16psia	21.87°C	0.184LPM	0.315mg/s	3.367g

11.989s	18.16psia	21.87°C	0.184LPM	0.314mg/s	3.367g

12.049s	18.13psia	21.87°C	0.183LPM	0.313mg/s	3.367g

12.110s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.367g

12.171s	18.15psia	21.87°C	0.183LPM	0.314mg/s	3.367g

12.231s	18.17psia	21.88°C	0.183LPM	0.313mg/s	3.367g

12.291s	18.17psia	21.87°C	0.182LPM	0.312mg/s	3.367g

12.351s	18.14psia	21.87°C	0.182LPM	0.312mg/s	3.367g

12.411s	18.16psia	21.88°C	0.181LPM	0.311mg/s	3.367g

12.472s	18.16psia	21.87°C	0.182LPM	0.312mg/s	3.367g

12.532s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.367g

12.592s	18.19psia	21.87°C	0.182LPM	0.312mg/s	3.367g

12.652s	18.14psia	21.87°C	0.181LPM	0.310mg/s	3.367g

12.712s	18.17psia	21.87°C	0.182LPM	0.312mg/s	3.367g

12.772s	18.15psia	21.87°C	0.182LPM	0.312mg/s	3.367g

12.832s	18.16psia	21.87°C	0.181LPM	0.310mg/s	3.367g

12.892s	18.20psia	21.87°C	0.181LPM	0.310mg/s	3.367g

12.953s	18.18psia	21.88°C	0.182LPM	0.311mg/s	3.367g

13.013s	18.19psia	21.87°C	0.182LPM	0.311mg/s	3.367g

13.073s	18.21psia	21.87°C	0.181LPM	0.311mg/s	3.367g

13.133s	18.17psia	21.87°C	0.181LPM	0.310mg/s	3.367g

13.194s	18.19psia	21.87°C	0.182LPM	0.311mg/s	3.367g

13.254s	18.19psia	21.87°C	0.181LPM	0.310mg/s	3.367g

13.315s	18.20psia	21.87°C	0.180LPM	0.309mg/s	3.367g

13.376s	18.19psia	21.87°C	0.181LPM	0.310mg/s	3.367g

13.436s	18.16psia	21.87°C	0.181LPM	0.310mg/s	3.367g

13.496s	18.19psia	21.87°C	0.180LPM	0.309mg/s	3.367g

13.557s	18.19psia	21.87°C	0.181LPM	0.310mg/s	3.367g

13.617s	18.19psia	21.87°C	0.180LPM	0.309mg/s	3.367g

13.678s	18.19psia	21.87°C	0.180LPM	0.310mg/s	3.367g

13.738s	18.19psia	21.87°C	0.180LPM	0.309mg/s	3.367g

13.799s	18.19psia	21.88°C	0.180LPM	0.308mg/s	3.367g

13.859s	18.20psia	21.87°C	0.180LPM	0.309mg/s	3.367g

13.919s	18.18psia	21.87°C	0.180LPM	0.309mg/s	3.367g

13.979s	18.21psia	21.87°C	0.180LPM	0.309mg/s	3.367g

14.040s	18.19psia	21.87°C	0.180LPM	0.309mg/s	3.367g

14.100s	18.19psia	21.87°C	0.180LPM	0.309mg/s	3.367g

14.160s	18.17psia	21.87°C	0.180LPM	0.309mg/s	3.367g

14.221s	18.18psia	21.87°C	0.179LPM	0.307mg/s	3.367g

14.282s	18.21psia	21.87°C	0.180LPM	0.309mg/s	3.367g

14.342s	18.19psia	21.87°C	0.180LPM	0.309mg/s	3.368g

14.402s	18.19psia	21.88°C	0.180LPM	0.309mg/s	3.368g

14.462s	18.20psia	21.87°C	0.180LPM	0.310mg/s	3.368g

14.523s	18.18psia	21.88°C	0.180LPM	0.309mg/s	3.368g

14.583s	18.20psia	21.87°C	0.180LPM	0.309mg/s	3.368g

14.644s	18.19psia	21.87°C	0.180LPM	0.308mg/s	3.368g

14.705s	18.12psia	21.88°C	0.180LPM	0.308mg/s	3.368g

14.765s	18.17psia	21.87°C	0.181LPM	0.310mg/s	3.368g

14.825s	18.19psia	21.87°C	0.180LPM	0.308mg/s	3.368g

14.886s	18.20psia	21.87°C	0.180LPM	0.310mg/s	3.368g

14.946s	18.15psia	21.87°C	0.180LPM	0.309mg/s	3.368g

15.006s	18.18psia	21.87°C	0.180LPM	0.309mg/s	3.368g

15.067s	18.20psia	21.87°C	0.179LPM	0.308mg/s	3.368g

15.127s	18.20psia	21.87°C	0.179LPM	0.308mg/s	3.368g

15.188s	18.22psia	21.87°C	0.179LPM	0.308mg/s	3.368g

15.248s	18.13psia	21.87°C	0.179LPM	0.308mg/s	3.368g

15.308s	18.19psia	21.88°C	0.181LPM	0.310mg/s	3.368g

15.368s	18.18psia	21.87°C	0.180LPM	0.309mg/s	3.368g

15.429s	18.20psia	21.87°C	0.180LPM	0.309mg/s	3.368g

15.489s	18.18psia	21.87°C	0.180LPM	0.309mg/s	3.368g

15.549s	18.20psia	21.87°C	0.180LPM	0.309mg/s	3.368g

15.609s	18.21psia	21.87°C	0.179LPM	0.307mg/s	3.368g

15.669s	18.21psia	21.87°C	0.179LPM	0.308mg/s	3.368g

15.729s	18.21psia	21.87°C	0.179LPM	0.308mg/s	3.368g

15.789s	18.16psia	21.87°C	0.180LPM	0.309mg/s	3.368g

15.849s	18.18psia	21.88°C	0.181LPM	0.310mg/s	3.368g

15.920s	18.19psia	21.87°C	0.179LPM	0.307mg/s	3.368g

15.980s	18.18psia	21.87°C	0.179LPM	0.308mg/s	3.368g

16.041s	18.20psia	21.87°C	0.180LPM	0.308mg/s	3.368g

16.108s	18.19psia	21.87°C	0.180LPM	0.309mg/s	3.368g

16.168s	18.18psia	21.87°C	0.180LPM	0.309mg/s	3.368g

16.228s	18.21psia	21.87°C	0.180LPM	0.309mg/s	3.368g

16.288s	18.19psia	21.88°C	0.179LPM	0.308mg/s	3.368g

16.349s	18.19psia	21.87°C	0.179LPM	0.307mg/s	3.368g

16.409s	18.15psia	21.87°C	0.179LPM	0.308mg/s	3.368g

16.469s	14.71psia	21.87°C	1.387LPM	1.897mg/s	3.368g

16.529s	14.65psia	21.87°C	0.745LPM	1.029mg/s	3.368g

16.590s	14.83psia	21.87°C	0.613LPM	0.856mg/s	3.368g

16.650s	15.01psia	21.87°C	0.566LPM	0.800mg/s	3.368g

16.711s	15.18psia	21.87°C	0.537LPM	0.769mg/s	3.368g

16.771s	15.29psia	21.87°C	0.517LPM	0.744mg/s	3.369g

16.831s	15.44psia	21.87°C	0.499LPM	0.727mg/s	3.369g

16.892s	15.57psia	21.87°C	0.484LPM	0.711mg/s	3.369g

16.952s	15.66psia	21.87°C	0.468LPM	0.692mg/s	3.369g

17.012s	15.81psia	21.87°C	0.451LPM	0.673mg/s	3.369g

17.073s	15.92psia	21.87°C	0.437LPM	0.656mg/s	3.369g

17.133s	16.02psia	21.87°C	0.423LPM	0.640mg/s	3.369g

17.194s	16.14psia	21.87°C	0.409LPM	0.623mg/s	3.369g

17.254s	16.22psia	21.87°C	0.397LPM	0.607mg/s	3.369g

17.314s	16.31psia	21.87°C	0.386LPM	0.593mg/s	3.369g

17.375s	16.40psia	21.87°C	0.373LPM	0.578mg/s	3.369g

17.435s	16.49psia	21.87°C	0.363LPM	0.565mg/s	3.369g

17.496s	16.60psia	21.87°C	0.354LPM	0.554mg/s	3.369g

17.557s	16.66psia	21.87°C	0.344LPM	0.542mg/s	3.369g

17.617s	16.71psia	21.87°C	0.336LPM	0.530mg/s	3.369g

17.677s	16.79psia	21.87°C	0.327LPM	0.518mg/s	3.369g

17.737s	16.84psia	21.87°C	0.320LPM	0.509mg/s	3.369g

17.797s	16.93psia	21.87°C	0.313LPM	0.499mg/s	3.369g

17.858s	16.94psia	21.87°C	0.305LPM	0.489mg/s	3.369g

17.918s	16.98psia	21.87°C	0.299LPM	0.480mg/s	3.369g

17.978s	17.10psia	21.87°C	0.294LPM	0.474mg/s	3.369g

18.039s	17.15psia	21.87°C	0.288LPM	0.465mg/s	3.369g

18.099s	17.20psia	21.87°C	0.282LPM	0.458mg/s	3.369g

18.160s	17.21psia	21.88°C	0.277LPM	0.451mg/s	3.369g

18.220s	17.29psia	21.87°C	0.272LPM	0.443mg/s	3.369g

18.280s	17.33psia	21.87°C	0.268LPM	0.438mg/s	3.369g

18.341s	17.37psia	21.87°C	0.264LPM	0.431mg/s	3.369g

18.402s	17.41psia	21.87°C	0.260LPM	0.427mg/s	3.369g

18.462s	17.42psia	21.89°C	0.255LPM	0.419mg/s	3.369g

18.522s	17.46psia	21.87°C	0.252LPM	0.414mg/s	3.369g

18.582s	17.51psia	21.87°C	0.248LPM	0.410mg/s	3.369g

18.643s	17.55psia	21.87°C	0.245LPM	0.404mg/s	3.369g

18.703s	17.54psia	21.87°C	0.243LPM	0.402mg/s	3.369g

18.763s	17.59psia	21.87°C	0.239LPM	0.397mg/s	3.370g

18.824s	17.65psia	21.87°C	0.236LPM	0.392mg/s	3.370g

18.884s	17.64psia	21.88°C	0.233LPM	0.389mg/s	3.370g

18.944s	17.64psia	21.87°C	0.231LPM	0.385mg/s	3.370g

19.004s	17.68psia	21.87°C	0.228LPM	0.381mg/s	3.370g

19.064s	17.71psia	21.87°C	0.226LPM	0.378mg/s	3.370g

19.124s	17.68psia	21.88°C	0.224LPM	0.374mg/s	3.370g

19.184s	17.77psia	21.87°C	0.222LPM	0.372mg/s	3.370g

19.244s	17.77psia	21.87°C	0.220LPM	0.369mg/s	3.370g

19.305s	17.77psia	21.87°C	0.219LPM	0.367mg/s	3.370g

19.365s	17.79psia	21.87°C	0.216LPM	0.363mg/s	3.370g

19.426s	17.82psia	21.87°C	0.215LPM	0.361mg/s	3.370g

19.486s	17.83psia	21.87°C	0.213LPM	0.358mg/s	3.370g

19.546s	17.86psia	21.87°C	0.213LPM	0.358mg/s	3.370g

19.608s	17.86psia	21.88°C	0.211LPM	0.355mg/s	3.370g

19.668s	17.88psia	21.87°C	0.209LPM	0.353mg/s	3.370g

19.729s	17.89psia	21.87°C	0.208LPM	0.352mg/s	3.370g

19.789s	17.91psia	21.87°C	0.207LPM	0.350mg/s	3.370g

19.849s	17.93psia	21.87°C	0.206LPM	0.348mg/s	3.370g

19.910s	17.89psia	21.88°C	0.204LPM	0.344mg/s	3.370g

19.970s	17.94psia	21.87°C	0.203LPM	0.344mg/s	3.370g

20.039s	17.95psia	21.87°C	0.202LPM	0.343mg/s	3.370g

20.100s	17.94psia	21.88°C	0.201LPM	0.342mg/s	3.370g

20.161s	17.98psia	21.87°C	0.200LPM	0.340mg/s	3.370g

20.228s	18.01psia	21.87°C	0.199LPM	0.338mg/s	3.370g

20.288s	18.01psia	21.87°C	0.198LPM	0.336mg/s	3.370g

20.348s	17.99psia	21.87°C	0.197LPM	0.335mg/s	3.370g

20.408s	18.03psia	21.87°C	0.197LPM	0.334mg/s	3.370g

20.468s	18.04psia	21.87°C	0.197LPM	0.334mg/s	3.370g

20.529s	18.07psia	21.87°C	0.196LPM	0.334mg/s	3.370g

20.589s	18.04psia	21.87°C	0.195LPM	0.332mg/s	3.370g

20.649s	18.04psia	21.88°C	0.194LPM	0.331mg/s	3.370g

20.709s	18.04psia	21.87°C	0.195LPM	0.331mg/s	3.370g

20.769s	18.06psia	21.87°C	0.194LPM	0.330mg/s	3.370g

20.829s	18.07psia	21.87°C	0.192LPM	0.328mg/s	3.370g

20.890s	18.06psia	21.88°C	0.192LPM	0.327mg/s	3.370g

20.950s	18.08psia	21.87°C	0.192LPM	0.327mg/s	3.370g

21.010s	18.09psia	21.87°C	0.191LPM	0.325mg/s	3.370g

21.070s	18.05psia	21.87°C	0.191LPM	0.325mg/s	3.370g

21.130s	18.10psia	21.87°C	0.190LPM	0.324mg/s	3.370g

21.190s	18.04psia	21.87°C	0.189LPM	0.322mg/s	3.370g

21.250s	18.10psia	21.87°C	0.190LPM	0.324mg/s	3.370g

21.311s	18.11psia	21.87°C	0.189LPM	0.323mg/s	3.370g

21.371s	18.09psia	21.87°C	0.188LPM	0.322mg/s	3.370g

21.432s	16.99psia	21.87°C	0.916LPM	1.492mg/s	3.370g

21.492s	15.34psia	21.87°C	0.974LPM	1.405mg/s	3.370g

21.552s	14.73psia	21.88°C	0.816LPM	1.132mg/s	3.371g

21.612s	14.60psia	21.87°C	0.700LPM	0.963mg/s	3.371g

21.672s	14.78psia	21.87°C	0.612LPM	0.851mg/s	3.371g

21.733s	14.91psia	21.87°C	0.575LPM	0.810mg/s	3.371g

21.793s	15.07psia	21.87°C	0.549LPM	0.781mg/s	3.371g

21.854s	15.24psia	21.88°C	0.529LPM	0.760mg/s	3.371g

21.914s	15.36psia	21.88°C	0.512LPM	0.742mg/s	3.371g

21.975s	15.49psia	21.87°C	0.493LPM	0.721mg/s	3.371g

22.035s	15.62psia	21.87°C	0.476LPM	0.702mg/s	3.371g

22.096s	15.77psia	21.87°C	0.459LPM	0.683mg/s	3.371g

22.156s	15.89psia	21.87°C	0.443LPM	0.665mg/s	3.371g

22.217s	15.98psia	21.87°C	0.429LPM	0.646mg/s	3.371g

